0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "POST /CEA101G3/booking/Available HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:52:13 +0800] "GET /CEA101G3/css/ajax-loader.gif HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:56:32 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 18187
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:56:32 +0800] "GET /CEA101G3/css/front-end/available.css HTTP/1.1" 200 3737
0:0:0:0:0:0:0:1 - - [31/Dec/2020:09:56:32 +0800] "POST /CEA101G3/RoomRsvServlet.do HTTP/1.1" 404 781
