127.0.0.1 - - [30/Dec/2020:11:36:32 +0800] "GET / HTTP/1.1" 200 783
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 12364
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/css/front-end/room-booking.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/img/footer.png HTTP/1.1" 200 4273977
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:36:34 +0800] "GET /CEA101G3/css/front-end/img/brandon-griggs-wR11KBaB86U-unsplash.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:11:37:05 +0800] "GET /CEA101G3/available.jsp HTTP/1.1" 500 3184
0:0:0:0:0:0:0:1 - - [30/Dec/2020:12:00:26 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 12288
0:0:0:0:0:0:0:1 - - [30/Dec/2020:12:00:26 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:12:19:48 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 12419
0:0:0:0:0:0:0:1 - - [30/Dec/2020:12:19:48 +0800] "GET /CEA101G3/js/front-end/room-booking.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Dec/2020:12:25:29 +0800] "GET /CEA101G3/front-end/room-booking/RoomBooking.jsp HTTP/1.1" 200 12720
